def(HAVE_WRITABLE_ARGV),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURLDEBUG),
def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(HAVE_FSETXATTR),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(ENABLE_IPV6),
def(TIME_WITH_SYS_TIME),
def(__EMX__),
!def(CURL_DISABLE_RTSP),
def(USE_POLARSSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_GETHOSTNAME),
def(LIB585),
def(CURL_DISABLE_HTTP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_HTTP),
!def(HAVE_FSETXATTR),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(USE_WINDOWS_SSPI),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(USE_NSS),
def(__riscos__),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_TELNET),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
def(USE_LIBRTMP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
True,
def(USE_CHUNKED),
def(DISABLE_EXPECT),
(def(__AMIGA__)&!def(__libnix__)),
def(USE_CYASSL),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NTLM),
def(HAVE_PIPE),
!def(DEBUGBUILD),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(WIN32)&!def(_WIN32_WCE)),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_MEMRCHR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DEBUGBUILD),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(__AMIGA__),
!def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_FTP),
def(__VMS),
def(UNITTESTS),
