def(PIPES),
def(TEST_TERMDOC),
!def(MSDOS),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(NO_LOCALE_H),
def(VMS),
def(BADRAND),
def(MSDOS),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
!def(HAVE_ERF),
def(_Windows),
def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
True,
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(LITE),
def(__ZTC__),
