!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(_MSC_VER),
def(__linux__),
!def(STATIC),
!def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
def(_AIX),
