def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
True,
!def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(PROTO),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(WSDEBUG),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
!def(PROTO),
